epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.65565,0.99923,0.45652,0.93478,1.26904,0.0002499,0.0002499,0.0002499
2,14.7294,0.90847,0.54348,0.97826,1.44141,0.000495554,0.000495554,0.000495554
3,19.6061,0.98559,0.47826,0.97826,1.07324,0.000728425,0.000728425,0.000728425
4,24.3026,0.96495,0.45652,0.93478,1.49414,0.00077115,0.00077115,0.00077115
5,28.9611,1.00521,0.52174,0.95652,1.24854,0.000750533,0.000750533,0.000750533
6,33.6123,0.87562,0.56522,0.93478,1.22314,0.000729916,0.000729916,0.000729916
7,38.2875,0.8507,0.56522,0.97826,1.58545,0.000709299,0.000709299,0.000709299
8,43.0835,0.84814,0.56522,0.97826,1.04321,0.000688683,0.000688683,0.000688683
9,47.6995,0.82792,0.63043,1,0.84424,0.000668066,0.000668066,0.000668066
10,52.3906,0.85269,0.65217,0.95652,0.8175,0.000647449,0.000647449,0.000647449
11,57.0206,0.79754,0.58696,0.97826,1.26465,0.000626832,0.000626832,0.000626832
12,61.7009,0.77747,0.69565,0.93478,1.3999,0.000606216,0.000606216,0.000606216
13,66.3562,0.82959,0.6087,0.95652,1.1001,0.000585599,0.000585599,0.000585599
14,71.0008,0.67585,0.80435,0.95652,0.71692,0.000564982,0.000564982,0.000564982
15,75.6741,0.70451,0.63043,0.97826,1.30127,0.000544365,0.000544365,0.000544365
16,80.4737,0.65743,0.69565,0.95652,1.19971,0.000523749,0.000523749,0.000523749
17,85.0504,0.66205,0.73913,0.93478,1.03955,0.000503132,0.000503132,0.000503132
18,89.7456,0.65833,0.63043,0.97826,1.02441,0.000482515,0.000482515,0.000482515
19,94.3866,0.64758,0.67391,1,0.74561,0.000461898,0.000461898,0.000461898
20,99.0668,0.61667,0.69565,1,0.83301,0.000441282,0.000441282,0.000441282
21,103.703,0.63525,0.67391,1,0.8335,0.000420665,0.000420665,0.000420665
22,108.395,0.53066,0.71739,0.97826,1.13525,0.000400048,0.000400048,0.000400048
23,113.183,0.59528,0.73913,1,1.06494,0.000379431,0.000379431,0.000379431
24,117.809,0.58716,0.71739,0.97826,0.80322,0.000358815,0.000358815,0.000358815
25,122.44,0.50808,0.76087,0.97826,0.74463,0.000338198,0.000338198,0.000338198
26,127.004,0.50517,0.73913,0.97826,0.81982,0.000317581,0.000317581,0.000317581
27,131.711,0.50931,0.69565,0.95652,0.91211,0.000296964,0.000296964,0.000296964
28,136.417,0.45883,0.67391,0.93478,0.84814,0.000276348,0.000276348,0.000276348
29,141.032,0.45626,0.73913,0.97826,0.63055,0.000255731,0.000255731,0.000255731
30,145.719,0.53882,0.80435,0.97826,0.77319,0.000235114,0.000235114,0.000235114
31,173.089,0.47356,0.76087,0.95652,0.99292,0.000214497,0.000214497,0.000214497
32,177.875,0.48213,0.71739,0.97826,0.84448,0.000193881,0.000193881,0.000193881
33,182.532,0.52693,0.71739,0.97826,0.73279,0.000173264,0.000173264,0.000173264
34,187.239,0.38046,0.80435,0.95652,0.78149,0.000152647,0.000152647,0.000152647
35,191.9,0.33789,0.80435,0.97826,0.75146,0.000132031,0.000132031,0.000132031
36,196.597,0.38849,0.78261,0.97826,0.7168,0.000111414,0.000111414,0.000111414
37,201.231,0.41289,0.76087,0.97826,0.88721,9.0797e-05,9.0797e-05,9.0797e-05
38,205.891,0.36296,0.73913,0.97826,0.85767,7.01802e-05,7.01802e-05,7.01802e-05
39,210.586,0.35378,0.78261,0.93478,0.79053,4.95635e-05,4.95635e-05,4.95635e-05
40,215.288,0.36283,0.76087,0.93478,0.79248,2.89468e-05,2.89468e-05,2.89468e-05
